"","gene_id","n"
"326","ENSG00000100804",4
"327","ENSG00000100884",4
"328","ENSG00000100902",3
"329","ENSG00000100979",3
"330","ENSG00000100997",4
"331","ENSG00000101079",4
"332","ENSG00000101152",4
"333","ENSG00000101182",4
"334","ENSG00000101210",4
"335","ENSG00000101298",2
"336","ENSG00000101327",3
"337","ENSG00000101439",4
"338","ENSG00000101460",4
"339","ENSG00000101474",4
"340","ENSG00000101489",4
"341","ENSG00000101558",2
"342","ENSG00000101856",4
"343","ENSG00000102003",4
"344","ENSG00000102109",4
"345","ENSG00000102144",4
"346","ENSG00000102181",3
"347","ENSG00000102226",4
"348","ENSG00000102409",4
"349","ENSG00000102471",4
"350","ENSG00000102760",4
"351","ENSG00000102804",4
"352","ENSG00000102879",2
"353","ENSG00000102934",4
"354","ENSG00000103024",2
"355","ENSG00000103034",4
"356","ENSG00000103056",3
"357","ENSG00000103089",2
"358","ENSG00000103145",3
"359","ENSG00000103174",2
"360","ENSG00000103260",4
"361","ENSG00000103266",3
"362","ENSG00000103316",4
"363","ENSG00000103363",4
"364","ENSG00000103415",3
"365","ENSG00000103528",2
"366","ENSG00000103647",2
"367","ENSG00000103657",2
"368","ENSG00000103723",2
"369","ENSG00000103769",4
"370","ENSG00000103811",3
"371","ENSG00000104093",3
"372","ENSG00000104112",3
"373","ENSG00000104267",4
"374","ENSG00000104327",3
"375","ENSG00000104381",3
"376","ENSG00000104388",4
"377","ENSG00000104419",3
"378","ENSG00000104435",4
"379","ENSG00000104490",4
"380","ENSG00000104529",3
"381","ENSG00000104695",4
"382","ENSG00000104722",4
"383","ENSG00000104723",3
"384","ENSG00000104763",2
"385","ENSG00000104833",4
"386","ENSG00000104888",4
"387","ENSG00000104904",4
"388","ENSG00000104960",2
"389","ENSG00000104964",4
"390","ENSG00000104979",2
"391","ENSG00000105185",2
"392","ENSG00000105193",4
"393","ENSG00000105220",4
"394","ENSG00000105223",4
"395","ENSG00000105245",3
"396","ENSG00000105254",4
"397","ENSG00000105255",3
"398","ENSG00000105258",2
"399","ENSG00000105270",4
"400","ENSG00000105290",4
"401","ENSG00000105372",4
"402","ENSG00000105376",4
"403","ENSG00000105393",2
"404","ENSG00000105401",4
"405","ENSG00000105402",4
"406","ENSG00000105404",3
"407","ENSG00000105409",4
"408","ENSG00000105419",3
"409","ENSG00000105518",2
"410","ENSG00000105520",4
"411","ENSG00000105568",4
"412","ENSG00000105583",3
"413","ENSG00000105613",3
"414","ENSG00000105640",4
"415","ENSG00000105642",3
"416","ENSG00000105649",4
"417","ENSG00000105662",2
"418","ENSG00000105695",4
"419","ENSG00000105696",4
"420","ENSG00000105701",4
"421","ENSG00000105711",4
"422","ENSG00000105723",3
"423","ENSG00000105737",3
"424","ENSG00000105738",2
"425","ENSG00000105854",4
"426","ENSG00000105887",4
"427","ENSG00000105894",3
"428","ENSG00000105993",3
"429","ENSG00000106089",4
"430","ENSG00000106105",2
"431","ENSG00000106153",4
"432","ENSG00000106211",2
"433","ENSG00000106236",4
"434","ENSG00000106278",3
"435","ENSG00000106299",4
"436","ENSG00000106367",4
"437","ENSG00000106537",3
"438","ENSG00000106538",2
"439","ENSG00000106615",4
"440","ENSG00000106617",3
"441","ENSG00000106682",2
"442","ENSG00000106723",3
"443","ENSG00000106803",2
"444","ENSG00000106853",2
"445","ENSG00000106976",4
"446","ENSG00000106992",3
"447","ENSG00000107105",3
"448","ENSG00000107130",4
"449","ENSG00000107223",4
"450","ENSG00000107281",4
"451","ENSG00000107295",4
"452","ENSG00000107317",4
"453","ENSG00000107331",4
"454","ENSG00000107372",4
"455","ENSG00000107518",3
"456","ENSG00000107742",4
"457","ENSG00000107758",4
"458","ENSG00000107798",2
"459","ENSG00000107863",4
"460","ENSG00000107872",2
"461","ENSG00000107902",4
"462","ENSG00000108091",3
"463","ENSG00000108106",4
"464","ENSG00000108107",4
"465","ENSG00000108231",3
"466","ENSG00000108262",4
"467","ENSG00000108298",4
"468","ENSG00000108309",4
"469","ENSG00000108352",2
"470","ENSG00000108387",4
"471","ENSG00000108395",4
"472","ENSG00000108509",2
"473","ENSG00000108518",3
"474","ENSG00000108528",4
"475","ENSG00000108551",3
"476","ENSG00000108561",4
"477","ENSG00000108654",4
"478","ENSG00000108797",4
"479","ENSG00000108848",2
"480","ENSG00000108861",3
"481","ENSG00000108924",2
"482","ENSG00000108946",4
"483","ENSG00000108947",2
"484","ENSG00000108953",4
"485","ENSG00000108960",4
"486","ENSG00000109046",3
"487","ENSG00000109099",4
"488","ENSG00000109107",4
"489","ENSG00000109180",4
"490","ENSG00000109332",2
"491","ENSG00000109339",4
"492","ENSG00000109390",3
"493","ENSG00000109466",4
"494","ENSG00000109472",4
"495","ENSG00000109475",4
"496","ENSG00000109654",4
"497","ENSG00000109670",3
"498","ENSG00000109738",4
"499","ENSG00000109846",4
"500","ENSG00000109956",4
"501","ENSG00000109971",4
"502","ENSG00000110047",2
"503","ENSG00000110076",3
"504","ENSG00000110107",2
"505","ENSG00000110237",3
"506","ENSG00000110321",4
"507","ENSG00000110328",2
"508","ENSG00000110400",2
"509","ENSG00000110427",3
"510","ENSG00000110436",4
"511","ENSG00000110514",4
"512","ENSG00000110651",4
"513","ENSG00000110675",4
"514","ENSG00000110700",4
"515","ENSG00000110717",3
"516","ENSG00000110786",2
"517","ENSG00000110841",3
"518","ENSG00000110955",4
"519","ENSG00000110958",4
