"gene_id","n"
"ENSG00000118276",3
"ENSG00000118402",2
"ENSG00000118418",3
"ENSG00000118432",4
"ENSG00000118473",2
"ENSG00000118515",2
"ENSG00000118680",4
"ENSG00000118785",4
"ENSG00000118816",2
"ENSG00000118971",3
"ENSG00000119013",3
"ENSG00000119048",3
"ENSG00000119125",4
"ENSG00000119139",3
"ENSG00000119242",4
"ENSG00000119280",2
"ENSG00000119318",3
"ENSG00000119421",4
"ENSG00000119655",2
"ENSG00000119698",2
"ENSG00000119705",3
"ENSG00000119782",4
"ENSG00000119801",4
"ENSG00000119865",4
"ENSG00000119866",2
"ENSG00000119900",4
"ENSG00000120049",4
"ENSG00000120053",4
"ENSG00000120251",4
"ENSG00000120265",4
"ENSG00000120306",2
"ENSG00000120438",3
"ENSG00000120694",4
"ENSG00000120727",2
"ENSG00000120885",4
"ENSG00000120899",4
"ENSG00000120963",4
"ENSG00000121413",4
"ENSG00000121653",3
"ENSG00000121753",4
"ENSG00000121766",2
"ENSG00000121769",4
"ENSG00000121905",4
"ENSG00000122026",4
"ENSG00000122042",2
"ENSG00000122126",2
"ENSG00000122359",3
"ENSG00000122378",4
"ENSG00000122406",4
"ENSG00000122490",2
"ENSG00000122545",4
"ENSG00000122566",4
"ENSG00000122574",4
"ENSG00000122585",4
"ENSG00000122705",3
"ENSG00000122733",2
"ENSG00000122873",4
"ENSG00000123091",4
"ENSG00000123095",3
"ENSG00000123119",4
"ENSG00000123144",3
"ENSG00000123349",4
"ENSG00000123416",4
"ENSG00000123505",2
"ENSG00000123560",4
"ENSG00000123562",4
"ENSG00000123975",2
"ENSG00000123989",4
"ENSG00000124126",3
"ENSG00000124140",4
"ENSG00000124172",4
"ENSG00000124313",2
"ENSG00000124406",4
"ENSG00000124422",4
"ENSG00000124507",4
"ENSG00000124614",4
"ENSG00000124702",4
"ENSG00000124767",2
"ENSG00000124785",4
"ENSG00000124920",4
"ENSG00000124942",2
"ENSG00000125144",4
"ENSG00000125148",4
"ENSG00000125166",2
"ENSG00000125356",4
"ENSG00000125398",2
"ENSG00000125462",4
"ENSG00000125505",4
"ENSG00000125534",4
"ENSG00000125648",4
"ENSG00000125675",4
"ENSG00000125691",2
"ENSG00000125743",4
"ENSG00000125814",4
"ENSG00000125827",2
"ENSG00000125841",2
"ENSG00000125851",2
"ENSG00000125868",4
"ENSG00000125869",4
"ENSG00000125967",2
"ENSG00000125968",3
"ENSG00000125971",4
"ENSG00000125995",2
"ENSG00000126005",3
"ENSG00000126214",4
"ENSG00000126217",2
"ENSG00000126247",4
"ENSG00000126267",4
"ENSG00000126351",4
"ENSG00000126432",4
"ENSG00000126457",2
"ENSG00000126524",2
"ENSG00000126583",4
"ENSG00000126709",4
"ENSG00000126767",3
"ENSG00000126803",4
"ENSG00000126860",3
"ENSG00000126878",3
"ENSG00000126934",3
"ENSG00000126945",3
"ENSG00000126950",3
"ENSG00000127022",4
"ENSG00000127184",4
"ENSG00000127220",3
"ENSG00000127445",4
"ENSG00000127511",3
"ENSG00000127540",3
"ENSG00000127561",4
"ENSG00000127585",4
"ENSG00000127824",4
"ENSG00000127838",2
"ENSG00000127884",4
"ENSG00000127922",2
"ENSG00000127995",2
"ENSG00000128245",4
"ENSG00000128272",3
"ENSG00000128463",2
"ENSG00000128482",2
"ENSG00000128512",4
"ENSG00000128524",4
"ENSG00000128564",4
"ENSG00000128609",4
"ENSG00000128656",4
"ENSG00000128683",4
"ENSG00000128739",4
"ENSG00000128872",4
"ENSG00000128989",4
"ENSG00000129084",4
"ENSG00000129244",2
"ENSG00000129355",4
"ENSG00000129538",4
"ENSG00000129559",4
"ENSG00000129562",3
"ENSG00000129625",4
"ENSG00000129636",4
"ENSG00000129682",4
"ENSG00000129757",2
"ENSG00000129990",4
"ENSG00000130005",2
"ENSG00000130066",2
"ENSG00000130175",3
"ENSG00000130203",4
"ENSG00000130208",4
"ENSG00000130226",4
"ENSG00000130255",4
"ENSG00000130294",4
"ENSG00000130382",2
"ENSG00000130414",2
"ENSG00000130477",4
"ENSG00000130511",4
"ENSG00000130520",2
"ENSG00000130522",4
"ENSG00000130540",4
"ENSG00000130558",4
"ENSG00000130638",4
"ENSG00000130643",4
"ENSG00000130714",3
"ENSG00000130720",2
"ENSG00000130723",2
"ENSG00000130725",3
"ENSG00000130731",4
"ENSG00000130748",4
"ENSG00000130770",4
"ENSG00000130787",2
"ENSG00000130822",4
"ENSG00000130985",2
"ENSG00000131018",4
"ENSG00000131051",2
"ENSG00000131089",4
"ENSG00000131095",4
"ENSG00000131100",4
"ENSG00000131116",2
"ENSG00000131143",4
"ENSG00000131165",2
"ENSG00000131174",4
"ENSG00000131188",3
"ENSG00000131437",4
"ENSG00000131469",4
"ENSG00000131495",3
"ENSG00000131507",4
"ENSG00000131584",2
"ENSG00000131711",4
"ENSG00000131828",2
"ENSG00000131966",2
"ENSG00000132002",2
"ENSG00000132294",4
"ENSG00000132329",3
"ENSG00000132341",4
"ENSG00000132359",2
"ENSG00000132432",3
"ENSG00000132434",2
"ENSG00000132463",2
"ENSG00000132471",4
"ENSG00000132475",4
"ENSG00000132507",2
"ENSG00000132535",4
"ENSG00000132563",4
"ENSG00000132639",4
"ENSG00000132640",4
"ENSG00000132670",4
"ENSG00000132702",4
"ENSG00000132718",4
"ENSG00000132821",4
"ENSG00000132824",4
"ENSG00000132872",4
"ENSG00000132879",4
"ENSG00000132932",2
"ENSG00000132963",2
"ENSG00000133026",3
"ENSG00000133030",2
"ENSG00000133083",4
"ENSG00000133112",4
"ENSG00000133134",4
"ENSG00000133142",2
"ENSG00000133169",4
"ENSG00000133243",2
"ENSG00000133318",4
"ENSG00000133424",3
"ENSG00000133612",4
"ENSG00000133627",4
"ENSG00000133639",2
"ENSG00000133687",2
"ENSG00000133816",4
"ENSG00000133835",3
"ENSG00000133872",4
"ENSG00000133878",3
"ENSG00000134072",4
"ENSG00000134108",2
"ENSG00000134121",4
"ENSG00000134243",4
"ENSG00000134248",3
"ENSG00000134265",4
"ENSG00000134287",4
"ENSG00000134308",4
"ENSG00000134318",2
"ENSG00000134333",4
"ENSG00000134375",4
"ENSG00000134419",4
"ENSG00000134443",2
"ENSG00000134590",4
"ENSG00000134644",2
"ENSG00000134769",4
"ENSG00000134780",2
"ENSG00000134825",3
"ENSG00000134851",3
"ENSG00000134982",4
"ENSG00000134986",3
"ENSG00000135002",4
"ENSG00000135018",2
"ENSG00000135069",3
"ENSG00000135108",2
"ENSG00000135298",2
"ENSG00000135334",2
"ENSG00000135363",3
"ENSG00000135387",2
"ENSG00000135390",4
"ENSG00000135404",4
"ENSG00000135424",3
"ENSG00000135439",4
"ENSG00000135441",2
"ENSG00000135447",4
"ENSG00000135454",4
"ENSG00000135472",4
"ENSG00000135486",3
"ENSG00000135519",2
"ENSG00000135624",2
"ENSG00000135643",3
"ENSG00000135709",4
"ENSG00000135720",3
"ENSG00000135744",4
"ENSG00000135750",4
"ENSG00000135821",4
"ENSG00000135905",2
"ENSG00000135916",4
"ENSG00000135924",3
"ENSG00000135932",3
"ENSG00000135940",4
"ENSG00000136002",3
"ENSG00000136003",4
"ENSG00000136099",4
"ENSG00000136156",4
"ENSG00000136237",4
"ENSG00000136238",3
"ENSG00000136267",2
"ENSG00000136531",4
"ENSG00000136541",4
"ENSG00000136717",4
"ENSG00000136750",4
"ENSG00000136754",4
"ENSG00000136810",3
"ENSG00000136813",4
"ENSG00000136854",4
"ENSG00000136888",2
"ENSG00000136928",4
"ENSG00000136930",3
"ENSG00000136942",4
"ENSG00000136950",4
"ENSG00000136960",4
"ENSG00000136999",3
"ENSG00000137100",3
"ENSG00000137154",4
"ENSG00000137216",2
"ENSG00000137267",4
"ENSG00000137285",3
"ENSG00000137312",3
"ENSG00000137409",4
"ENSG00000137575",4
"ENSG00000137642",3
"ENSG00000137710",2
"ENSG00000137726",4
"ENSG00000137766",2
"ENSG00000137818",4
"ENSG00000137825",2
"ENSG00000137876",2
"ENSG00000137941",3
"ENSG00000138028",2
"ENSG00000138029",2
"ENSG00000138069",2
"ENSG00000138071",4
"ENSG00000138078",4
"ENSG00000138101",2
"ENSG00000138107",4
"ENSG00000138207",2
"ENSG00000138326",4
"ENSG00000138430",4
"ENSG00000138435",3
"ENSG00000138443",4
"ENSG00000138495",3
"ENSG00000138698",4
"ENSG00000138757",4
"ENSG00000138760",3
"ENSG00000138814",4
"ENSG00000138834",4
"ENSG00000139112",4
"ENSG00000139116",3
"ENSG00000139182",4
"ENSG00000139200",3
"ENSG00000139220",4
"ENSG00000139433",2
"ENSG00000139505",2
"ENSG00000139644",2
"ENSG00000139737",3
"ENSG00000139793",2
"ENSG00000139970",4
"ENSG00000139973",2
"ENSG00000139998",3
"ENSG00000140105",4
"ENSG00000140264",3
"ENSG00000140280",2
"ENSG00000140319",4
"ENSG00000140391",4
"ENSG00000140403",3
"ENSG00000140416",4
"ENSG00000140538",2
"ENSG00000140600",4
"ENSG00000140740",4
"ENSG00000140905",3
"ENSG00000140941",4
"ENSG00000140945",3
"ENSG00000140988",3
"ENSG00000140990",4
"ENSG00000140992",2
"ENSG00000141002",2
"ENSG00000141232",2
"ENSG00000141367",4
"ENSG00000141404",3
"ENSG00000141480",3
"ENSG00000141503",4
"ENSG00000141504",2
"ENSG00000141522",4
"ENSG00000141540",4
"ENSG00000141542",4
"ENSG00000141552",2
"ENSG00000141576",2
"ENSG00000141741",2
"ENSG00000141759",3
"ENSG00000141959",3
"ENSG00000142089",4
"ENSG00000142168",4
"ENSG00000142192",4
"ENSG00000142235",2
"ENSG00000142408",4
"ENSG00000142494",2
"ENSG00000142507",3
"ENSG00000142534",3
"ENSG00000142541",4
"ENSG00000142669",4
"ENSG00000142676",4
"ENSG00000142686",4
"ENSG00000142875",4
"ENSG00000142937",4
"ENSG00000143013",4
"ENSG00000143126",4
"ENSG00000143153",4
"ENSG00000143158",3
"ENSG00000143198",3
"ENSG00000143420",4
"ENSG00000143502",4
"ENSG00000143543",2
"ENSG00000143549",3
"ENSG00000143761",4
"ENSG00000143774",4
"ENSG00000143847",2
"ENSG00000143878",4
"ENSG00000143933",4
"ENSG00000143947",4
"ENSG00000144040",2
"ENSG00000144119",2
"ENSG00000144283",2
"ENSG00000144290",3
"ENSG00000144339",3
"ENSG00000144369",3
"ENSG00000144381",2
"ENSG00000144567",4
"ENSG00000144711",2
"ENSG00000144713",4
"ENSG00000144746",3
"ENSG00000144749",3
"ENSG00000144834",4
"ENSG00000144959",2
"ENSG00000145087",2
"ENSG00000145198",2
"ENSG00000145242",3
"ENSG00000145247",2
"ENSG00000145284",4
"ENSG00000145335",4
"ENSG00000145349",3
"ENSG00000145362",4
"ENSG00000145425",4
"ENSG00000145494",3
"ENSG00000145495",2
"ENSG00000145592",4
"ENSG00000145632",4
"ENSG00000145675",2
"ENSG00000145708",2
"ENSG00000145730",4
"ENSG00000145741",3
"ENSG00000145824",4
"ENSG00000145864",3
"ENSG00000145912",4
"ENSG00000145920",4
"ENSG00000145934",2
"ENSG00000145990",3
"ENSG00000146122",3
"ENSG00000146469",3
"ENSG00000146701",4
"ENSG00000146938",2
"ENSG00000147123",4
"ENSG00000147162",2
"ENSG00000147224",3
"ENSG00000147403",4
"ENSG00000147416",4
"ENSG00000147533",3
"ENSG00000147588",3
"ENSG00000147604",4
"ENSG00000147642",3
"ENSG00000147669",2
"ENSG00000147676",4
"ENSG00000147684",3
"ENSG00000148053",4
"ENSG00000148180",4
"ENSG00000148303",4
"ENSG00000148334",2
"ENSG00000148341",4
"ENSG00000148468",2
"ENSG00000148660",2
"ENSG00000148671",4
"ENSG00000148672",2
"ENSG00000148700",3
"ENSG00000148798",4
"ENSG00000148826",3
"ENSG00000148943",2
"ENSG00000149091",4
"ENSG00000149269",3
"ENSG00000149273",4
"ENSG00000149294",4
"ENSG00000149313",2
"ENSG00000149557",4
"ENSG00000149575",2
"ENSG00000149582",2
"ENSG00000149806",4
"ENSG00000149809",2
"ENSG00000149925",4
"ENSG00000149927",4
"ENSG00000149970",4
"ENSG00000150394",2
"ENSG00000150459",4
"ENSG00000150625",4
"ENSG00000150656",4
"ENSG00000150672",4
"ENSG00000150753",4
"ENSG00000150867",4
"ENSG00000150991",4
"ENSG00000150995",2
"ENSG00000151150",2
"ENSG00000151229",2
"ENSG00000151366",4
"ENSG00000151502",3
"ENSG00000151552",4
