"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000173898","ENSG00000173898","SPTBN2",528,775.75,4
"ENSG00000152583","ENSG00000152583","SPARCL1",529,776.25,4
"ENSG00000231500","ENSG00000231500","RPS18",530,778.5,4
"ENSG00000124126","ENSG00000124126","PREX1",531,779,4
"ENSG00000130770","ENSG00000130770","ATP5IF1",532,779.75,4
"ENSG00000159082","ENSG00000159082","SYNJ1",533,780,4
"ENSG00000105220","ENSG00000105220","GPI",534,780.75,4
"ENSG00000115977","ENSG00000115977","AAK1",535.5,782.5,4
"ENSG00000196136","ENSG00000196136","SERPINA3",535.5,782.5,4
"ENSG00000075945","ENSG00000075945","KIFAP3",537,789.25,4
"ENSG00000109107","ENSG00000109107","ALDOC",538,789.75,4
"ENSG00000108309","ENSG00000108309","RUNDC3A",539,790.25,4
"ENSG00000137766","ENSG00000137766","UNC13C",540,791,4
"ENSG00000158258","ENSG00000158258","CLSTN2",541,791.25,4
"ENSG00000156515","ENSG00000156515","HK1",542,792.5,4
"ENSG00000249992","ENSG00000249992","TMEM158",543,793.5,4
"ENSG00000179178","ENSG00000179178","TMEM125",544,794,4
"ENSG00000154027","ENSG00000154027","AK5",545,794.75,4
"ENSG00000158865","ENSG00000158865","SLC5A11",546,796.75,4
"ENSG00000239911","ENSG00000239911","PRKAG2-AS1",547,797,4
"ENSG00000198825","ENSG00000198825","INPP5F",548,798.75,4
"ENSG00000198242","ENSG00000198242","RPL23A",549,799.75,4
"ENSG00000136531","ENSG00000136531","SCN2A",550,800.25,4
"ENSG00000078804","ENSG00000078804","TP53INP2",551,801.25,4
"ENSG00000119139","ENSG00000119139","TJP2",552,801.75,4
"ENSG00000163041","ENSG00000163041","H3F3A",553,802.5,4
"ENSG00000268089","ENSG00000268089","GABRQ",554,803,4
"ENSG00000157404","ENSG00000157404","KIT",555,805.25,4
"ENSG00000143502","ENSG00000143502","SUSD4",556.5,806.25,4
"ENSG00000084207","ENSG00000084207","GSTP1",556.5,806.25,4
"ENSG00000089009","ENSG00000089009","RPL6",558,807.25,4
"ENSG00000145632","ENSG00000145632","PLK2",559,807.5,4
"ENSG00000143418","ENSG00000143418","CERS2",560,807.75,4
"ENSG00000165478","ENSG00000165478","HEPACAM",561,810.25,4
"ENSG00000058091","ENSG00000058091","CDK14",562,811.5,4
"ENSG00000100316","ENSG00000100316","RPL3",563,811.75,4
"ENSG00000134982","ENSG00000134982","APC",564,812.5,4
"ENSG00000171766","ENSG00000171766","GATM",565,812.75,4
"ENSG00000124374","ENSG00000124374","PAIP2B",566,813.25,4
"ENSG00000136867","ENSG00000136867","SLC31A2",567,814.5,4
"ENSG00000173915","ENSG00000173915","ATP5MD",568.5,818,4
"ENSG00000203930","ENSG00000203930","LINC00632",568.5,818,4
"ENSG00000133083","ENSG00000133083","DCLK1",570,820.25,4
"ENSG00000006042","ENSG00000006042","TMEM98",571.5,820.75,4
"ENSG00000198918","ENSG00000198918","RPL39",571.5,820.75,4
"ENSG00000148303","ENSG00000148303","RPL7A",573,824.25,4
"ENSG00000165795","ENSG00000165795","NDRG2",574,825.5,4
"ENSG00000272398","ENSG00000272398","CD24",575,826,4
"ENSG00000215218","ENSG00000215218","UBE2QL1",576,827,4
"ENSG00000107105","ENSG00000107105","ELAVL2",577,827.5,4
"ENSG00000135744","ENSG00000135744","AGT",578,827.75,4
"ENSG00000172247","ENSG00000172247","C1QTNF4",579,829,4
"ENSG00000165023","ENSG00000165023","DIRAS2",580,829.25,4
"ENSG00000180834","ENSG00000180834","MAP6D1",581,832.5,4
"ENSG00000087258","ENSG00000087258","GNAO1",582,835.25,4
