"","gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000072235","ENSMUSG00000072235","Tuba1a",693,703,2
"ENSMUSG00000057666","ENSMUSG00000057666","Gapdh",694.5,703.5,2
"ENSMUSG00000051146","ENSMUSG00000051146","Camk2n2",694.5,703.5,2
"ENSMUSG00000038619","ENSMUSG00000038619","Ensa",696,705,2
"ENSMUSG00000031342","ENSMUSG00000031342","Gpm6b",697,705.5,2
"ENSMUSG00000030785","ENSMUSG00000030785","Cox6a2",698,707,2
"ENSMUSG00000039059","ENSMUSG00000039059","Hrh3",700,709.5,2
"ENSMUSG00000000184","ENSMUSG00000000184","Ccnd2",700,709.5,2
"ENSMUSG00000006356","ENSMUSG00000006356","Crip2",700,709.5,2
"ENSMUSG00000024608","ENSMUSG00000024608","Rps14",702,710,2
"ENSMUSG00000007036","ENSMUSG00000007036","Abhd16a",703,710.5,2
"ENSMUSG00000024109","ENSMUSG00000024109","Nrxn1",704,711.5,2
"ENSMUSG00000004849","ENSMUSG00000004849","Ap1s1",705,713,2
"ENSMUSG00000047945","ENSMUSG00000047945","Marcksl1",706.5,715.5,2
"ENSMUSG00000020473","ENSMUSG00000020473","Aebp1",706.5,715.5,2
"ENSMUSG00000032564","ENSMUSG00000032564","Cpne4",708,717,2
"ENSMUSG00000039474","ENSMUSG00000039474","Wfs1",709,717.5,2
"ENSMUSG00000020460","ENSMUSG00000020460","Rps27a",710.5,718.5,2
"ENSMUSG00000002012","ENSMUSG00000002012","Pnck",710.5,718.5,2
"ENSMUSG00000039114","ENSMUSG00000039114","Nrn1",712,720.5,2
"ENSMUSG00000014846","ENSMUSG00000014846","Tppp3",713,722.5,2
"ENSMUSG00000047215","ENSMUSG00000047215","Rpl9",714,723,2
"ENSMUSG00000032294","ENSMUSG00000032294","Pkm",715,724,2
"ENSMUSG00000073542","ENSMUSG00000073542","Cep76",716,724.5,2
"ENSMUSG00000031841","ENSMUSG00000031841","Cdh13",717,725,2
"ENSMUSG00000078771","ENSMUSG00000078771","Evi2a",718,725.5,2
"ENSMUSG00000031760","ENSMUSG00000031760","Mt3",720.5,727.5,2
"ENSMUSG00000004558","ENSMUSG00000004558","Ndrg2",720.5,727.5,2
"ENSMUSG00000038555","ENSMUSG00000038555","Reep2",720.5,727.5,2
"ENSMUSG00000035885","ENSMUSG00000035885","Cox8a",720.5,727.5,2
"ENSMUSG00000096054","ENSMUSG00000096054","Syne1",723,729,2
"ENSMUSG00000008136","ENSMUSG00000008136","Fhl2",724,730.5,2
"ENSMUSG00000059361","ENSMUSG00000059361","Nrsn2",725,731,2
"ENSMUSG00000039706","ENSMUSG00000039706","Ldb2",726.5,733,2
"ENSMUSG00000078591","ENSMUSG00000078591","Hs3st4",726.5,733,2
"ENSMUSG00000019966","ENSMUSG00000019966","Kitl",729,733.5,2
"ENSMUSG00000019467","ENSMUSG00000019467","Arhgef25",729,733.5,2
"ENSMUSG00000042401","ENSMUSG00000042401","Crtac1",729,733.5,2
"ENSMUSG00000026425","ENSMUSG00000026425","Srgap2",732,735,2
"ENSMUSG00000050556","ENSMUSG00000050556","Kcnb1",732,735,2
"ENSMUSG00000032120","ENSMUSG00000032120","C2cd2l",732,735,2
"ENSMUSG00000040118","ENSMUSG00000040118","Cacna2d1",734,735.5,2
"ENSMUSG00000095041","ENSMUSG00000095041","AC149090.1",735,737,2
"ENSMUSG00000044071","ENSMUSG00000044071","Tafa2",736,739,2
"ENSMUSG00000051323","ENSMUSG00000051323","Pcdh19",737,741.5,2
"ENSMUSG00000048834","ENSMUSG00000048834","Vstm2a",738.5,742,2
"ENSMUSG00000020340","ENSMUSG00000020340","Cyfip2",738.5,742,2
"ENSMUSG00000040785","ENSMUSG00000040785","Ttc3",740,743,2
"ENSMUSG00000040759","ENSMUSG00000040759","Cmtm5",741,743.5,2
"ENSMUSG00000042675","ENSMUSG00000042675","Ypel3",742,745,2
"ENSMUSG00000024647","ENSMUSG00000024647","Cbln2",743,745.5,2
"ENSMUSG00000027523","ENSMUSG00000027523","Gnas",744,746.5,2
"ENSMUSG00000048385","ENSMUSG00000048385","Scrt1",745,747,2
"ENSMUSG00000043811","ENSMUSG00000043811","Rtn4r",746,748,2
"ENSMUSG00000025579","ENSMUSG00000025579","Gaa",747,749.5,2
"ENSMUSG00000006575","ENSMUSG00000006575","Rundc3a",748,750.5,2
"ENSMUSG00000030317","ENSMUSG00000030317","Timp4",749,755,2
"ENSMUSG00000019768","ENSMUSG00000019768","Esr1",750,756.5,2
"ENSMUSG00000041235","ENSMUSG00000041235","Chd7",751,757,2
"ENSMUSG00000001334","ENSMUSG00000001334","Fndc5",752,759.5,2
"ENSMUSG00000074736","ENSMUSG00000074736","Syndig1",753.5,761,2
"ENSMUSG00000031428","ENSMUSG00000031428","Zcchc18",753.5,761,2
"ENSMUSG00000038781","ENSMUSG00000038781","Stap2",755,763,2
"ENSMUSG00000031065","ENSMUSG00000031065","Cdk16",756,763.5,2
"ENSMUSG00000007021","ENSMUSG00000007021","Syngr3",757,764.5,2
"ENSMUSG00000036306","ENSMUSG00000036306","Lzts1",758,766,2
"ENSMUSG00000033805","ENSMUSG00000033805","Ephx4",759,772.5,2
"ENSMUSG00000002107","ENSMUSG00000002107","Celf2",760,774,2
"ENSMUSG00000074129","ENSMUSG00000074129","Rpl13a",761.5,774.5,2
"ENSMUSG00000000088","ENSMUSG00000000088","Cox5a",761.5,774.5,2
"ENSMUSG00000041329","ENSMUSG00000041329","Atp1b2",763,775,2
"ENSMUSG00000037492","ENSMUSG00000037492","Zmat4",764.5,776.5,2
"ENSMUSG00000031833","ENSMUSG00000031833","Mast3",764.5,776.5,2
"ENSMUSG00000018648","ENSMUSG00000018648","Dusp14",766,778,2
"ENSMUSG00000026904","ENSMUSG00000026904","Slc4a10",767.5,779,2
"ENSMUSG00000029153","ENSMUSG00000029153","Ociad2",767.5,779,2
"ENSMUSG00000048142","ENSMUSG00000048142","Nat8l",769,780,2
"ENSMUSG00000085438","ENSMUSG00000085438","Oip5os1",770,782.5,2
"ENSMUSG00000026519","ENSMUSG00000026519","Tmem63a",772,785.5,2
"ENSMUSG00000052584","ENSMUSG00000052584","Serp2",772,785.5,2
"ENSMUSG00000059003","ENSMUSG00000059003","Grin2a",772,785.5,2
"ENSMUSG00000017493","ENSMUSG00000017493","Igfbp4",774.5,786.5,2
"ENSMUSG00000097451","ENSMUSG00000097451","Rian",774.5,786.5,2
"ENSMUSG00000046607","ENSMUSG00000046607","Hrk",776.5,789,2
"ENSMUSG00000034799","ENSMUSG00000034799","Unc13a",776.5,789,2
"ENSMUSG00000053965","ENSMUSG00000053965","Pde5a",778,791,2
"ENSMUSG00000026094","ENSMUSG00000026094","Stk17b",779,792,2
"ENSMUSG00000030223","ENSMUSG00000030223","Ptpro",780,792.5,2
"ENSMUSG00000025986","ENSMUSG00000025986","Slc39a10",781,793,2
"ENSMUSG00000033676","ENSMUSG00000033676","Gabrb3",782,793.5,2
"ENSMUSG00000011751","ENSMUSG00000011751","Sptbn4",783,794.5,2
"ENSMUSG00000061589","ENSMUSG00000061589","Dot1l",784,796.5,2
"ENSMUSG00000022636","ENSMUSG00000022636","Alcam",785,797.5,2
"ENSMUSG00000035285","ENSMUSG00000035285","Nat14",786.5,800,2
"ENSMUSG00000006273","ENSMUSG00000006273","Atp6v1b2",786.5,800,2
"ENSMUSG00000050541","ENSMUSG00000050541","Adra1b",788,801,2
"ENSMUSG00000016024","ENSMUSG00000016024","Lbp",789.5,802.5,2
"ENSMUSG00000066129","ENSMUSG00000066129","Kndc1",789.5,802.5,2
"ENSMUSG00000034902","ENSMUSG00000034902","Pip5k1c",791,803.5,2
"ENSMUSG00000028351","ENSMUSG00000028351","Brinp1",792,805.5,2
"ENSMUSG00000024425","ENSMUSG00000024425","Ndfip1",793,806,2
"ENSMUSG00000029068","ENSMUSG00000029068","Ccnl2",794,807,2
"ENSMUSG00000068735","ENSMUSG00000068735","Trp53i11",795.5,808.5,2
"ENSMUSG00000031447","ENSMUSG00000031447","Lamp1",795.5,808.5,2
"ENSMUSG00000015476","ENSMUSG00000015476","Prrt1",797,809,2
"ENSMUSG00000029608","ENSMUSG00000029608","Rph3a",798.5,810.5,2
"ENSMUSG00000069171","ENSMUSG00000069171","Nr2f1",798.5,810.5,2
"ENSMUSG00000043843","ENSMUSG00000043843","Tmem145",800,811,2
"ENSMUSG00000052155","ENSMUSG00000052155","Acvr2a",801,811.5,2
"ENSMUSG00000066438","ENSMUSG00000066438","Plekhd1",802,816,2
"ENSMUSG00000030137","ENSMUSG00000030137","Tuba8",803,818,2
"ENSMUSG00000026443","ENSMUSG00000026443","Lrrn2",804,820,2
"ENSMUSG00000099696","ENSMUSG00000099696","2900052N01Rik",805.5,824.5,2
"ENSMUSG00000050121","ENSMUSG00000050121","Opalin",805.5,824.5,2
"ENSMUSG00000038020","ENSMUSG00000038020","Rapgefl1",807,825,2
"ENSMUSG00000033585","ENSMUSG00000033585","Ndn",808,826.5,2
"ENSMUSG00000020774","ENSMUSG00000020774","Aspa",809,827.5,2
"ENSMUSG00000030108","ENSMUSG00000030108","Slc6a13",810.5,828.5,2
"ENSMUSG00000025428","ENSMUSG00000025428","Atp5a1",810.5,828.5,2
"ENSMUSG00000025475","ENSMUSG00000025475","Adgra1",812,830.5,2
"ENSMUSG00000026424","ENSMUSG00000026424","Gpr37l1",814,832,2
"ENSMUSG00000023236","ENSMUSG00000023236","Scg5",814,832,2
"ENSMUSG00000028234","ENSMUSG00000028234","Rps20",814,832,2
"ENSMUSG00000025362","ENSMUSG00000025362","Rps26",816,837,2
"ENSMUSG00000008153","ENSMUSG00000008153","Clstn3",817,838,2
"ENSMUSG00000035964","ENSMUSG00000035964","Tmem59l",818,838.5,2
"ENSMUSG00000040037","ENSMUSG00000040037","Negr1",819.5,839,2
"ENSMUSG00000020882","ENSMUSG00000020882","Cacnb1",819.5,839,2
"ENSMUSG00000058897","ENSMUSG00000058897","Col25a1",821,840,2
"ENSMUSG00000027985","ENSMUSG00000027985","Lef1",822.5,841,2
"ENSMUSG00000028341","ENSMUSG00000028341","Nr4a3",822.5,841,2
"ENSMUSG00000030329","ENSMUSG00000030329","Pianp",824,842,2
"ENSMUSG00000022500","ENSMUSG00000022500","Litaf",825,845,2
"ENSMUSG00000093930","ENSMUSG00000093930","Hmgcs1",826,846.5,2
"ENSMUSG00000057230","ENSMUSG00000057230","Aak1",827.5,847.5,2
"ENSMUSG00000020577","ENSMUSG00000020577","Tspan13",827.5,847.5,2
"ENSMUSG00000066392","ENSMUSG00000066392","Nrxn3",829,849.5,2
"ENSMUSG00000022773","ENSMUSG00000022773","Ypel1",830,850,2
"ENSMUSG00000065947","ENSMUSG00000065947","mt-Nd4l",831,850.5,2
"ENSMUSG00000008682","ENSMUSG00000008682","Rpl10",832,851.5,2
"ENSMUSG00000026826","ENSMUSG00000026826","Nr4a2",833,852.5,2
"ENSMUSG00000040712","ENSMUSG00000040712","Camta2",834.5,853,2
"ENSMUSG00000031355","ENSMUSG00000031355","Arhgap6",834.5,853,2
"ENSMUSG00000028137","ENSMUSG00000028137","Celf3",836.5,853.5,2
"ENSMUSG00000022044","ENSMUSG00000022044","Stmn4",836.5,853.5,2
"ENSMUSG00000013921","ENSMUSG00000013921","Clip3",838,854,2
"ENSMUSG00000021680","ENSMUSG00000021680","Crhbp",839,854.5,2
"ENSMUSG00000026787","ENSMUSG00000026787","Gad2",840,855.5,2
"ENSMUSG00000029121","ENSMUSG00000029121","Crmp1",842,856.5,2
"ENSMUSG00000018217","ENSMUSG00000018217","Pmp22",842,856.5,2
"ENSMUSG00000021390","ENSMUSG00000021390","Ogn",842,856.5,2
"ENSMUSG00000021559","ENSMUSG00000021559","Dapk1",844,858.5,2
"ENSMUSG00000004347","ENSMUSG00000004347","Pde1c",845.5,859,2
"ENSMUSG00000045414","ENSMUSG00000045414","Dipk2a",845.5,859,2
"ENSMUSG00000055430","ENSMUSG00000055430","Nap1l5",847,859.5,2
"ENSMUSG00000031343","ENSMUSG00000031343","Gabra3",848,861.5,2
"ENSMUSG00000004748","ENSMUSG00000004748","Mtfp1",849,862,2
"ENSMUSG00000021373","ENSMUSG00000021373","Cap2",850,862.5,2
"ENSMUSG00000020173","ENSMUSG00000020173","Cobl",851,863,2
"ENSMUSG00000022658","ENSMUSG00000022658","Tagln3",852,865.5,2
"ENSMUSG00000061689","ENSMUSG00000061689","Dlgap4",853,866.5,2
"ENSMUSG00000037843","ENSMUSG00000037843","Vstm2l",854,868,2
"ENSMUSG00000022489","ENSMUSG00000022489","Pde1b",855,870.5,2
"ENSMUSG00000037872","ENSMUSG00000037872","Ackr1",856.5,871.5,2
"ENSMUSG00000084845","ENSMUSG00000084845","Tmem240",856.5,871.5,2
"ENSMUSG00000004031","ENSMUSG00000004031","Brinp2",858.5,872,2
"ENSMUSG00000036098","ENSMUSG00000036098","Myrf",858.5,872,2
"ENSMUSG00000000740","ENSMUSG00000000740","Rpl13",860,874.5,2
"ENSMUSG00000056158","ENSMUSG00000056158","Car10",861,877,2
"ENSMUSG00000013584","ENSMUSG00000013584","Aldh1a2",862,877.5,2
"ENSMUSG00000027583","ENSMUSG00000027583","Zbtb46",863.5,879.5,2
"ENSMUSG00000055409","ENSMUSG00000055409","Nell1",863.5,879.5,2
"ENSMUSG00000073888","ENSMUSG00000073888","Ccl27a",866,880,2
"ENSMUSG00000025370","ENSMUSG00000025370","Cdh9",866,880,2
"ENSMUSG00000024411","ENSMUSG00000024411","Aqp4",866,880,2
"ENSMUSG00000073982","ENSMUSG00000073982","Rhog",868,881.5,2
"ENSMUSG00000017631","ENSMUSG00000017631","Abr",869,882.5,2
"ENSMUSG00000027210","ENSMUSG00000027210","Meis2",870,883,2
"ENSMUSG00000034413","ENSMUSG00000034413","Neurl1b",871,885,2
"ENSMUSG00000054364","ENSMUSG00000054364","Rhob",872,888,2
"ENSMUSG00000022199","ENSMUSG00000022199","Slc22a17",873,890,2
"ENSMUSG00000047617","ENSMUSG00000047617","Paxx",875,891,2
"ENSMUSG00000013033","ENSMUSG00000013033","Adgrl1",875,891,2
"ENSMUSG00000051067","ENSMUSG00000051067","Lingo3",875,891,2
"ENSMUSG00000049295","ENSMUSG00000049295","Zfp219",877,896,2
"ENSMUSG00000022353","ENSMUSG00000022353","Mtss1",878,898,2
"ENSMUSG00000026888","ENSMUSG00000026888","Grb14",879,898.5,2
"ENSMUSG00000033966","ENSMUSG00000033966","Cdkl4",880,899,2
"ENSMUSG00000023927","ENSMUSG00000023927","Satb1",881,902.5,2
"ENSMUSG00000036814","ENSMUSG00000036814","Slc6a20a",882,903,2
"ENSMUSG00000041729","ENSMUSG00000041729","Coro2b",883.5,908.5,2
