"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000037138","Aff3",509,530,3
"ENSMUSG00000031101","Sash3",510,530.666666666667,3
"ENSMUSG00000034959","Rubcnl",511,531.333333333333,3
"ENSMUSG00000036256","Igfbp7",512,532.666666666667,3
"ENSMUSG00000027962","Vcam1",513,533.666666666667,3
"ENSMUSG00000017781","Pitpna",514,535.666666666667,3
"ENSMUSG00000026288","Inpp5d",515,536.333333333333,3
"ENSMUSG00000001281","Itgb7",516,536.666666666667,3
"ENSMUSG00000037944","Ccr7",517,537,3
"ENSMUSG00000032097","Ddx6",518,539.666666666667,3
"ENSMUSG00000031453","Rasa3",519,540.666666666667,3
"ENSMUSG00000026832","Cytip",520,542,3
"ENSMUSG00000028211","Trp53inp1",521,544,3
"ENSMUSG00000079547","H2-DMb1",522,544.333333333333,3
"ENSMUSG00000026185","Igfbp5",523.5,544.666666666667,3
"ENSMUSG00000037124","Trim58",523.5,544.666666666667,3
"ENSMUSG00000002602","Axl",525,545.333333333333,3
"ENSMUSG00000002028","Kmt2a",526.5,548.333333333333,3
"ENSMUSG00000022216","Psme1",526.5,548.333333333333,3
"ENSMUSG00000024858","Grk2",528,549,3
"ENSMUSG00000039361","Picalm",529,549.333333333333,3
"ENSMUSG00000032870","Smap2",530.5,549.666666666667,3
"ENSMUSG00000042744","Hectd4",530.5,549.666666666667,3
"ENSMUSG00000020733","Slc9a3r1",532.5,550.333333333333,3
"ENSMUSG00000020802","Ube2o",532.5,550.333333333333,3
"ENSMUSG00000011752","Pgam1",534,550.666666666667,3
"ENSMUSG00000033004","Mycbp2",535,551,3
"ENSMUSG00000030282","Cmas",537,551.333333333333,3
"ENSMUSG00000031698","Mylk3",537,551.333333333333,3
"ENSMUSG00000018381","Abi3",537,551.333333333333,3
"ENSMUSG00000004837","Grap",539,553.333333333333,3
"ENSMUSG00000029560","Snx8",540,554,3
"ENSMUSG00000026012","Cd28",541,555,3
"ENSMUSG00000031165","Was",542,555.333333333333,3
"ENSMUSG00000027540","Ptpn1",543,556,3
"ENSMUSG00000026778","Prkcq",544,558.333333333333,3
"ENSMUSG00000017774","Myo1c",545.5,558.666666666667,3
"ENSMUSG00000021109","Hif1a",545.5,558.666666666667,3
"ENSMUSG00000027508","Pag1",547.5,559.666666666667,3
"ENSMUSG00000020427","Igfbp3",547.5,559.666666666667,3
"ENSMUSG00000043336","Filip1l",549,563,3
"ENSMUSG00000036908","Unc93b1",550.5,563.666666666667,3
"ENSMUSG00000016252","Atp5e",552,564,2
"ENSMUSG00000022108","Itm2b",553,564.666666666667,3
"ENSMUSG00000037503","Fam168b",554,565,3
"ENSMUSG00000027985","Lef1",555.5,567.666666666667,3
"ENSMUSG00000029672","Fam3c",555.5,567.666666666667,3
"ENSMUSG00000024613","Tcof1",558,573.333333333333,3
"ENSMUSG00000061086","Myl4",559,574.666666666667,3
"ENSMUSG00000017652","Cd40",560,575,3
"ENSMUSG00000027306","Nusap1",561,575.333333333333,3
"ENSMUSG00000021218","Gdi2",562.5,576.333333333333,3
"ENSMUSG00000059336","Slc14a1",562.5,576.333333333333,3
"ENSMUSG00000031765","Mt1",564,576.666666666667,3
"ENSMUSG00000029771","Irf5",565,577.333333333333,3
"ENSMUSG00000076535","Igkv1-88",566,579.5,2
"ENSMUSG00000052397","Ezr",567,580,3
"ENSMUSG00000026203","Dnajb2",568,581.666666666667,3
"ENSMUSG00000029603","Dtx1",569,584,3
"ENSMUSG00000033688","1300017J02Rik",570,584.666666666667,3
"ENSMUSG00000030862","Cpxm2",571,585.666666666667,3
"ENSMUSG00000033174","Mgll",572,589,3
"ENSMUSG00000015340","Cybb",573,589.333333333333,3
"ENSMUSG00000069301","Hist1h2ag",574,590.666666666667,3
"ENSMUSG00000001366","Fbxo9",575,592.666666666667,3
"ENSMUSG00000007659","Bcl2l1",576,593.666666666667,3
"ENSMUSG00000025982","Sf3b1",577,594.666666666667,3
"ENSMUSG00000029802","Abcg2",578,595.333333333333,3
"ENSMUSG00000001156","Mxd1",579,596.666666666667,3
"ENSMUSG00000055148","Klf2",580,598,3
"ENSMUSG00000032966","Fkbp1a",581,598.666666666667,3
"ENSMUSG00000076570","Igkv12-38",582,601,2
"ENSMUSG00000022540","Rogdi",583,601.666666666667,3
"ENSMUSG00000028559","Osbpl9",584,603,3
"ENSMUSG00000041528","Rnf123",585.5,603.333333333333,3
"ENSMUSG00000004040","Stat3",585.5,603.333333333333,3
"ENSMUSG00000023990","Tfeb",587.5,604.333333333333,3
"ENSMUSG00000024778","Fas",587.5,604.333333333333,3
"ENSMUSG00000027495","Fam210b",589,604.666666666667,3
"ENSMUSG00000031627","Irf2",590,608.333333333333,3
"ENSMUSG00000037674","Rfx7",591.5,611.666666666667,3
"ENSMUSG00000033306","Lpp",591.5,611.666666666667,3
"ENSMUSG00000020120","Plek",593.5,612.333333333333,3
"ENSMUSG00000041329","Atp1b2",593.5,612.333333333333,3
"ENSMUSG00000001700","Gramd3",595,613.333333333333,3
"ENSMUSG00000020321","Mdh1",596,614.666666666667,3
"ENSMUSG00000052837","Junb",597,616,3
"ENSMUSG00000006235","Epor",598,616.333333333333,3
"ENSMUSG00000036712","Cyld",599.5,616.666666666667,3
"ENSMUSG00000000594","Gm2a",599.5,616.666666666667,3
"ENSMUSG00000031389","Arhgap4",601,618.666666666667,3
"ENSMUSG00000027447","Cst3",602,623,3
"ENSMUSG00000052681","Rap1b",603,623.666666666667,3
"ENSMUSG00000035448","Ccr3",604,626,3
"ENSMUSG00000029064","Gnb1",605,629.666666666667,3
"ENSMUSG00000028266","Lmo4",606,630,3
"ENSMUSG00000048578","Mlec",607,630.333333333333,3
"ENSMUSG00000037946","Fgd3",608.5,631,3
"ENSMUSG00000022092","Ppp3cc",608.5,631,3
"ENSMUSG00000045316","Fahd1",610,633,3
"ENSMUSG00000030232","Aebp2",611,633.333333333333,3
"ENSMUSG00000035354","Uvrag",612,634.666666666667,3
"ENSMUSG00000051910","Sox6",613,635,3
"ENSMUSG00000030978","Rrm1",614,635.666666666667,2
"ENSMUSG00000003585","Sec14l2",615,638,3
"ENSMUSG00000027601","Mtfr1",616,640.333333333333,3
"ENSMUSG00000030263","Lrmp",617,643.333333333333,3
"ENSMUSG00000040940","Arhgef1",618.5,645.666666666667,3
"ENSMUSG00000020315","Sptbn1",618.5,645.666666666667,3
"ENSMUSG00000005034","Prkacb",620.5,646.666666666667,3
"ENSMUSG00000047368","Abhd17b",620.5,646.666666666667,3
"ENSMUSG00000047959","Kcna3",622,647,3
"ENSMUSG00000040723","Rcsd1",623,647.666666666667,3
